ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2020,300,LOS PASEROS,1.11,77,20,91722.89579,8.394850527,12,47,18,25.53191489,38.29787234,63.82978723,2,19,0,11171.6494,5,5,1,6,2,50,0,0,0,0,0,0,0,1,2.3333
2020,301,LA CASITA DE MADERA,0,42,1,38508.77051,10.90660633,8,22,12,36.36363636,54.54545455,90.90909091,1,15,0,16296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4706
2020,302,POL IND EL ALAMO,0,3,0,147892.5639,0.202849955,0,2,1,0,50,50,0,19,0,11035,6,13,0,0,2,15,0,0,0,0,0,0,0,3,3
2020,303,LOURDES,0,105,15,50768.38347,20.68216335,13,62,30,20.96774194,48.38709677,69.35483871,3,15,0,16296,1,4,0,0,0,0,0,0,0,9,0,0,0,0,2.6923
2020,304,FINCA MONSALVEZ,5.23,1673,112,295234.29,56.66685939,412,1110,151,37.11711712,13.6036036,50.72072072,48,16,7,14104.0932,5,3,6,37,0,0,1164.083732,0.695806176,0,0,0,0,0,1,2.8845
2020,305,SAN JERONIMO,0,199,7,54227.46845,36.69726906,43,110,46,39.09090909,41.81818182,80.90909091,6,17,2,12676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6533
2020,306,ROJAS,8.08,66,3,291873.844,2.261250926,14,44,8,31.81818182,18.18181818,50,2,15,1,16296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8696
2020,307,CAÑADA DE CEUTA,0.75,335,38,701106.5101,4.778161309,54,212,69,25.47169811,32.54716981,58.01886792,9,17,3,12676,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913
2020,308,SAN FERNANDO,0,19,5,45543.66244,4.171820838,2,8,9,25,112.5,137.5,1,17,0,12676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7143
2020,309,CORTIJO DE MAZA,3.56,583,70,219747.8491,26.53040758,82,376,125,21.80851064,33.24468085,55.05319149,17,15,2,16296,1,0,6,41,0,0,248.526012,0.426288185,0,0,0,0,0,0,2.4191
2020,310,HELIOMAR,5.47,3130,259,229638.6707,136.3010851,564,2060,506,27.37864078,24.5631068,51.94174757,53,12,22,10990.4514,15,19,6,35,0,0,571.569509,0.182610067,0,2722,0,0,13,2,2.8901
2020,311,HACIENDA PLATERO,7.04,900,54,77095.53852,116.7382727,130,620,150,20.96774194,24.19354839,45.16129032,9,19,6,9976,1,9,0,0,0,0,194.853941,0.216504379,0,900,1,0,0,0,2.8481
2020,312,CHURRIANA,5.07,1223,137,144950.0648,84.3738843,227,773,223,29.36610608,28.84864166,58.21474774,26,24,13,9146.0916,14,17,6,32,0,0,533.786713,0.436456838,0,422,3,1,0,3,2.5321
2020,313,LOS PAREDONES,3.13,525,40,83665.60933,62.74979698,137,340,48,40.29411765,14.11764706,54.41176471,5,13,8,8477,1,0,0,0,0,0,533.939635,1.017027876,0,0,0,0,0,0,3.125
2020,314,CEMENTERIO CHURRIANA,3.83,8,3,41413.11679,1.931755111,2,5,1,40,20,60,0,13,0,8477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6667
2020,315,LA NORIA,4.86,2605,159,215505.3642,120.8786616,471,1837,297,25.63962983,16.16766467,41.8072945,32,16,32,8126.4019,4,1,0,0,0,0,580.166303,0.222712592,0,0,0,0,3,2,2.9977
2020,316,PIZARRILLO,3.68,123,6,274377.6276,4.482872787,35,85,3,41.17647059,3.529411765,44.70588235,4,10,4,7907.5935,0,0,0,0,0,0,487.52284,3.963600325,0,0,0,0,0,0,2.6739
2020,317,LAS PEDRIZAS,3.83,655,31,53471.90951,122.4942229,98,423,134,23.1678487,31.678487,54.8463357,6,13,2,8477,3,3,0,0,0,0,0,0,0,0,0,0,0,1,2.8355
2020,318,LOS JAZMINES,1.13,377,24,37224.50341,101.2773752,39,250,88,15.6,35.2,50.8,14,18,1,11827,1,1,0,0,0,0,570.784254,1.514016589,0,0,0,0,0,0,2.9225
2020,319,EL CUARTON,6.58,170,3,218249.64,7.789245381,19,90,61,21.11111111,67.77777778,88.88888889,6,18,0,11827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7419
2020,320,FINCA LA HACIENDA,2.35,241,14,79331.23163,30.37895606,32,158,51,20.25316456,32.27848101,52.53164557,9,18,2,11827,4,4,1,2,0,0,334.080241,1.386225066,0,0,1,0,0,1,2.939
2020,321,SAN JUAN-EL ALBARICOCAL,0,218,25,119254.4067,18.28024692,37,154,27,24.02597403,17.53246753,41.55844156,8,18,0,11827,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3.1594
2020,323,PARQ EMP VILLA ROSA,0,1,1,329004.992,0.030394676,0,0,1,0,0,0,0,0,0,10332,12,37,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,324,POL IND MI MALAGA,3.09,22,4,349801.0069,0.628929007,0,22,0,0,0,0,0,10,0,10332,4,21,0,0,1,244,0,0,0,0,0,0,0,0,2.4444
2020,325,SAN JULIAN,7.21,671,66,109236.1897,61.42652924,95,453,123,20.97130243,27.15231788,48.12362031,15,10,3,10332,9,5,1,10,0,0,0,0,0,0,0,0,2,2,2.7056
2020,326,GUADALMAR,6.01,2550,140,767627.5914,33.21923324,325,1792,433,18.13616071,24.16294643,42.29910714,76,9,14,15965.3471,9,7,59,378,2,384,1267.389961,0.497015671,0,0,0,0,2,4,2.6181
2020,327,ARRAIJANAL,0,4,0,634857.6493,0.06300625,1,3,0,33.33333333,0,33.33333333,0,0,0,10332,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
2020,328,PARQ EMP AEROPUERTO,0,0,0,106289.6385,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,330,MAKRO,0,0,0,82798.07388,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,331,AEROPUERTO BASE AEREA,0,17,0,6269807.19,0.027114071,0,15,2,0,13.33333333,13.33333333,0,26,0,8937.1176,5,5,0,0,0,0,0,0,0,0,1,0,0,0,2.8333
2020,332,UNIVERSIDAD LABORAL,0,23,5,264793.0944,0.868602712,0,18,5,0,27.77777778,27.77777778,1,2,0,17999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.5
2020,333,LOS MORALES 2,3.87,410,13,70025.03684,58.55048687,77,298,35,25.83892617,11.74496644,37.58389262,11,11,3,13194.3171,0,0,2,9,0,0,279.777459,0.682384046,0,0,0,0,0,0,3.4746
2020,334,BARCELO,5.91,1104,39,35371.72599,312.1136922,147,742,215,19.81132075,28.97574124,48.78706199,9,6,5,9796,1,0,1,5,0,0,0,0,0,835,0,0,0,1,2.7125
2020,335,BUENAVISTA,0,72,0,43212.24614,16.66194341,10,47,15,21.27659574,31.91489362,53.19148936,0,17,0,12676,0,0,1,15,0,0,0,0,0,0,0,0,0,2,2.88
2020,336,CORTIJO SAN JULIAN,0,5,3,129342.9292,0.386569257,2,3,0,66.66666667,0,66.66666667,0,0,1,10332,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,337,LA CIZAÑA,8.9,104,9,281163.2289,3.698918966,17,63,24,26.98412698,38.0952381,65.07936508,2,10,0,10332,0,0,6,32,0,0,221.54492,2.130239615,0,0,0,0,0,0,2.2609
2020,338,TABACALERA,7.73,188,29,66848.38767,28.12334097,24,138,26,17.39130435,18.84057971,36.23188406,19,14,0,17798,1,3,30,144,0,0,553.300677,2.943088707,0,0,2,0,0,0,1.8431
2020,339,MARMOLES,8.22,5227,763,159622.4717,327.4601593,522,3269,1436,15.96818599,43.92780667,59.89599266,255,16,24,13062.8416,34,86,91,475,1,50,0,0,0,5227,0,0,0,14,2.1528
2020,340,PERCHEL NORTE,8.26,2263,316,175672.5641,128.8192047,303,1526,434,19.85583224,28.44036697,48.29619921,100,18,23,10683.7724,35,118,83,443,6,1348,288.188173,0.127347845,0,2263,1,3,0,7,2.3258
2020,341,LA FLORIDA,5.81,2470,88,127038.1403,194.4297983,427,1676,367,25.47732697,21.8973747,47.37470167,68,7,13,12774.7215,2,6,2,9,0,0,0,0,0,2470,0,0,0,1,2.7598
2020,342,SEMINARIO,0,16,4,312579.5721,0.511869662,2,12,2,16.66666667,16.66666667,33.33333333,1,9,0,13131,1,0,0,0,1,57,1987.747963,124.2342477,0,5,0,0,0,0,3.2
2020,343,OLIAS,0,302,7,64148.93798,47.07794229,29,216,57,13.42592593,26.38888889,39.81481481,7,14,2,9143,2,11,0,0,0,0,0,0,1,302,0,0,0,1,2.6034
2020,344,EL CORTIJUELO JUNTA CAMINOS,4.84,708,79,287121.2714,24.6585701,125,446,137,28.02690583,30.71748879,58.74439462,10,33,7,9736.7373,0,0,0,0,1,70,94.243375,0.133112112,0,0,0,0,1,1,3
2020,345,COLINAS DEL LIMONAR,9.79,18,3,703657.4399,0.255806291,5,8,5,62.5,62.5,125,0,5,0,16213.2778,0,0,0,0,0,0,535.993982,29.77744344,0,0,0,0,0,0,3.6
2020,346,CAMINO DEL COLMENAR,0,48,0,230133.3603,2.085747149,8,29,11,27.5862069,37.93103448,65.51724138,0,9,0,13535,3,1,2,17,0,0,0,0,0,0,0,0,0,0,2.6667
